nb_processes;mb_per_process;read_time;write_time;overall_time;max_bandwidth
2;2;0.00094;0.00276;0.00369;1083.1
3;2;0.00122;0.00424;0.00546;1099.7
4;2;0.00243;0.00575;0.00819;977.3
5;2;0.00202;0.00567;0.00770;1299.2
6;2;0.00327;0.00785;0.01112;1079.1
7;2;0.00463;0.01092;0.01555;900.1
8;2;0.00394;0.01558;0.01952;819.9
1;3;0.00089;0.00187;0.00275;1089.0
2;3;0.00150;0.00391;0.00541;1109.6
3;3;0.00194;0.00778;0.00972;925.8
4;3;0.00239;0.00877;0.01116;1075.2
5;3;0.00365;0.01009;0.01374;1091.7
6;3;0.00327;0.01221;0.01548;1162.6
7;3;0.00525;0.01652;0.02177;964.6
8;3;0.00514;0.01952;0.02466;973.2
1;4;0.00134;0.00336;0.00470;850.7
2;4;0.00166;0.00575;0.00742;1078.9
3;4;0.00241;0.00647;0.00889;1350.0
4;4;0.00296;0.01322;0.01619;988.6
5;4;0.11551;0.07761;0.19311;103.6
6;4;0.05089;0.01563;0.06653;360.8
7;4;0.00430;0.02279;0.02710;1033.2
8;4;0.13669;0.08174;0.21843;146.5
1;5;0.00181;0.00380;0.00561;891.3
2;5;0.00845;0.00765;0.01611;620.8
3;5;0.00444;0.00836;0.01280;1171.6
4;5;0.01091;0.01723;0.02814;710.8
5;5;0.00482;0.02021;0.02503;998.9
6;5;0.00496;0.02423;0.02919;1027.6
7;5;0.06563;0.02844;0.09407;372.1
8;5;0.00974;0.02610;0.03584;1116.2
1;6;0.00182;0.00460;0.00642;934.8
2;6;0.03342;0.00918;0.04260;281.7
3;6;0.00278;0.01157;0.01435;1254.3
4;6;0.00387;0.01588;0.01975;1215.1
5;6;0.00525;0.01512;0.02037;1473.0
6;6;0.00588;0.02776;0.03364;1070.2
7;6;0.00582;0.02249;0.02831;1483.7
8;6;0.03315;0.02708;0.06022;797.1
1;7;0.00210;0.00723;0.00933;749.9
2;7;0.08663;0.01353;0.10016;139.8
3;7;0.07962;0.11910;0.19872;105.7
4;7;0.08934;0.19004;0.27938;100.2
5;7;0.00543;0.01647;0.02190;1598.5
6;7;0.00583;0.02893;0.03476;1208.2
7;7;0.00669;0.03099;0.03768;1300.5
8;7;0.05637;0.11147;0.16784;333.6
1;8;0.00224;0.00512;0.00736;1087.5
